Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
40.00512001552609,Male,38408.86662770741,Yes,4.631263788597364,85.89159708862402,3,50.2,Yes,Yes,2.5,4.0,4.0,3.98,Year 2,Science,High School,0
21.0,Female,39716.19431933628,Yes,8.331132259739444,84.3818998197751,2,30.1,Yes,Yes,3.4,3.49,3.28,3.28,Year 1,Business,Master,0
22.1,Female,47592.976996090794,Yes,5.009769658836689,83.95092198858381,1,44.5,No,No,6.6,2.14,1.68,1.68,Year 1,CS,Bachelor,0
23.6,Male,42934.70146924327,No,6.321535269036525,73.11912199174114,1,22.1,No,No,3.0,2.77,3.1,3.14,Year 2,Business,Bachelor,1
20.5,Female,35633.51868800608,Yes,5.199212323510292,76.21977835908822,3,5.0,No,Yes,9.0,1.07,1.48,1.44,Year 2,Engineering,Bachelor,1
20.6,Male,174243.98286623185,Yes,6.7738308906186075,70.73733241755757,1,24.4,No,No,5.6,3.46,4.0,3.98,Year 3,Engineering,PhD,0
43.164317785373214,Female,72378.29904004319,Yes,4.303728442768605,72.2021886450481,2,25.2,No,No,5.8,0.0,0.0,0.02,Year 2,Arts,Bachelor,0
18.3,Female,98765.89803881447,Yes,7.416237702789104,81.24228718066253,3,40.7,No,No,6.3,2.78,2.68,2.6,Year 2,Arts,PhD,1
23.8,Female,39659.16017152409,Yes,6.340603507050699,83.4966174933081,1,17.2,No,Yes,6.7,1.73,1.6,1.65,Year 4,CS,High School,0
20.0,Female,84862.89230502701,No,4.6602192067276205,83.53610791040167,2,31.7,Yes,Yes,7.3,4.0,3.99,4.0,Year 3,CS,Bachelor,0
43.662673681351286,Male,40307.85609186452,Yes,5.5683296748360815,82.32745702382815,1,7.2,No,No,6.0,3.08,2.86,2.86,Year 1,Engineering,Bachelor,0
20.8,Female,39915.18457241352,Yes,5.841934666905177,74.32828316595065,1,31.6,Yes,No,7.5,2.86,2.31,2.31,Year 1,Science,High School,0
22.8,Female,50667.95694749588,Yes,5.730930477880325,71.51231378586017,2,26.3,Yes,No,4.3,1.92,1.59,1.62,Year 3,Business,High School,0
17.0,Female,39630.786907201684,No,6.8725870728108855,66.63481618262563,1,39.6,Yes,Yes,9.7,0.86,0.58,0.54,Year 3,Engineering,High School,1
18.2,Female,40117.78136734264,Yes,5.256153965963063,88.78695401312497,3,43.1,No,No,4.5,0.88,1.0,1.03,Year 2,CS,High School,0
20.4,Male,54548.63523066176,Yes,6.206153375202495,78.29449983612773,0,9.4,No,No,2.7,2.45,2.49,2.51,Year 3,CS,High School,0
21.1,Male,41543.995505757055,No,8.81891707802945,90.40640178881638,3,43.6,No,Yes,8.5,2.45,2.46,2.46,Year 1,CS,Bachelor,0
32.3863678628466,Female,35386.249668869044,Yes,6.756472516391954,72.05826517670698,1,40.1,Yes,No,4.1,1.04,1.45,1.48,Year 3,Arts,High School,0
22.5,Female,90511.78712407104,Yes,4.422341379022077,66.38856120436077,1,9.4,No,No,5.2,3.13,3.62,3.64,Year 3,Engineering,Bachelor,0
42.558561742801096,Male,63201.824006820505,Yes,6.919030083218519,58.85844878209599,2,33.8,Yes,No,6.4,0.4,0.59,0.59,Year 1,CS,Master,0
18.9,Male,40794.793844928776,Yes,7.252584982606519,63.14378440715462,1,34.2,Yes,Yes,5.5,1.92,1.93,1.93,Year 3,CS,Master,0
41.348849362204966,Male,35158.148839706315,Yes,6.810303196562194,78.72385467547367,0,45.4,No,No,5.0,1.43,1.18,1.21,Year 4,Arts,High School,0
23.3,Female,100914.7977037341,Yes,7.951633865894227,69.72919436102922,2,18.9,No,No,1.4,3.39,3.13,3.21,Year 2,Business,Bachelor,0
18.1,Male,77345.50082247413,Yes,7.425325023849968,74.30927251272843,3,17.5,No,No,5.0,1.73,2.06,2.11,Year 4,Business,Bachelor,0
21.2,Female,39645.06635022318,Yes,5.531484799178315,74.18556349103869,0,25.1,No,Yes,6.1,1.05,1.16,1.15,Year 3,Business,Bachelor,0
21.2,Male,72262.05901769611,Yes,7.116173857360144,69.03479671734763,1,38.7,Yes,No,2.9,4.0,4.0,3.98,Year 3,CS,Bachelor,0
39.80374816188852,Male,41563.73341849772,Yes,5.2918923806011655,90.65698193130108,1,36.9,No,No,3.9,4.0,4.0,4.0,Year 3,Business,High School,0
19.3,Female,60969.70201684693,Yes,3.125989507001689,76.88562423085962,1,14.9,No,No,6.6,0.57,0.81,0.83,Year 2,CS,High School,0
17.0,Male,70488.77855674863,Yes,9.337095559400446,73.23803359466035,1,55.2,Yes,No,4.5,2.25,2.25,2.32,Year 4,Science,High School,0
35.148427863840595,Male,59550.70998419319,No,4.117168578321149,76.78786740711351,1,12.0,Yes,No,3.9,3.22,3.71,3.66,Year 4,Engineering,Bachelor,0
20.3,Female,49874.06693467478,Yes,6.614215936932579,82.3102361002749,0,32.2,Yes,Yes,2.8,2.73,2.43,2.37,Year 4,Science,Bachelor,0
37.37269414092647,Male,43372.300673694255,Yes,5.8918232349510955,99.844964592238,1,13.6,No,Yes,6.4,2.69,2.88,2.88,Year 1,Business,Master,0
21.0,Female,42670.990459375564,Yes,7.406403712840769,63.65377891175706,1,33.9,No,No,5.3,1.33,0.98,0.91,Year 2,Science,High School,1
18.0,Male,38649.75745333834,Yes,5.543045932716194,69.69935661758467,0,26.7,Yes,No,4.6,0.73,0.25,0.22,Year 3,Science,Bachelor,1
20.3,Female,44078.437765716524,Yes,5.333430162833596,76.08288765476982,2,33.7,Yes,Yes,5.4,3.3,3.21,3.16,Year 2,Science,High School,0
29.177345998993708,Male,54226.573248804714,Yes,5.587624719580756,89.10466697645636,1,37.5,No,No,3.8,4.0,4.0,4.0,Year 1,Arts,Bachelor,0
41.95817251758665,Male,49811.96932511591,Yes,5.484924510431775,81.44293604073783,3,28.6,No,No,4.9,1.67,1.47,1.53,Year 4,CS,Bachelor,1
34.97350597046115,Male,33535.19049964048,No,5.381900252952619,81.230092068066,2,37.5,No,No,3.4,2.09,1.94,1.96,Year 4,Business,Bachelor,0
23.6,Male,43633.505692072315,Yes,5.37557524459496,71.83911670040152,2,16.7,No,Yes,5.3,0.82,1.1,1.08,Year 4,CS,Bachelor,0
20.0,Male,62745.7586394531,Yes,6.815009263678692,85.56953789305692,4,26.4,No,Yes,3.5,4.0,3.84,3.82,Year 3,Business,Master,1
24.2,Female,33695.29534832402,Yes,5.397697812309393,70.10406988429301,3,44.0,No,No,4.6,3.06,3.21,3.21,Year 1,Business,Master,0
19.3,Female,44064.662788504014,Yes,5.924134846380317,77.85447545435245,0,52.4,No,No,5.9,1.58,0.89,0.93,Year 2,CS,Master,0
23.1,Female,36726.29652156713,Yes,5.5842325858793895,74.1226142904681,2,40.6,No,No,1.3,4.0,3.25,3.22,Year 3,Engineering,Bachelor,0
17.1,Female,43394.889210538095,Yes,6.954646849591687,70.32429392237846,5,43.2,No,No,6.6,2.83,3.04,3.04,Year 1,Business,High School,0
31.635398924877283,Female,33746.306287966996,Yes,6.133223630367873,69.51109953631304,3,37.8,No,No,5.4,2.33,2.86,2.93,Year 4,CS,PhD,0
21.2,Male,37376.95072583012,Yes,8.528604070459219,64.11657513044699,5,34.9,No,No,5.9,2.48,1.97,1.97,Year 3,CS,Master,1
38.79415969483334,Female,40022.02150085606,Yes,2.99053410273786,74.19031102990554,3,15.1,No,No,3.8,2.14,2.19,2.19,Year 1,Science,Bachelor,0
18.6,Female,33407.190856696136,Yes,2.1199573580972153,79.85476207036476,3,48.9,Yes,No,4.6,0.57,0.35,0.35,Year 1,CS,Master,1
19.8,Female,58857.500883591565,Yes,4.357770281555743,76.50680338468567,2,25.2,Yes,Yes,7.0,1.83,1.32,1.31,Year 4,CS,Bachelor,1
23.7,Male,38962.82874702144,Yes,8.703505934071373,73.42551638564275,0,34.4,No,No,5.8,4.0,4.0,4.0,Year 3,CS,Master,0
